fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.060877019452687114,other,19.37396421689776,0.16055944055944057,1.11581497281,0.10000000000000009,0.20512820512820512,64,actual,510,actual,0.6982968369829684,2,1,2,1,2,0,0,183830,2507,180750,3096606,656,9401,5291,334,0.66,822,574,64,0.755994358251,1432,3823165,1848204,1264674,2021-04-30,https://covidactnow.org/us/oregon-or,0.4381980194592503,0.29984657649350827,3,3007184
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.07471623430799977,other,26.37982939325176,0.0893062605752961,0.89979814976,0.10000000000000009,0.43754789272030653,571,actual,2212,actual,0.7912994029001991,3,1,3,2,0,0,1,1151784,26233,1181556,12395450,1508,46557,25644,2972,0.64,3517,2783,571,0.775986525505,3362,12499395,6267560,4027307,2021-04-30,https://covidactnow.org/us/pennsylvania-pa,0.48957704931632107,0.3145844758966751,48,9931324
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.11612432511308916,other,24.41865572772917,,0.926222425845,0.09999999999499987,0.26587301587301587,67,actual,432,actual,0.72953216374269,2,2,2,4,1,0,1,164286,2296,56166,652671,10,8813,5872,559,0.5756390801914323,684,499,67,0.6750265957446808,310,3152720,1173182,760772,2021-04-30,https://covidactnow.org/us/puerto_rico-pr,0.36734327083308543,0.23821067390927245,11,1850881
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.017636319376825707,other,25.20387290073922,0.149812734082397,0.87652644312,0.09999999999999998,0.5490196078431373,28,actual,115,actual,0.8614457831325302,3,0,3,1,0,1,3,147897,2669,176965,3182094,200,4180,2383,188,0.59,166,143,28,0.7,296,1119045,551411,378325,2021-04-30,https://covidactnow.org/us/rhode_island-ri,0.520512837455787,0.3571256634895942,1,898947
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.04003004130679684,other,14.711024372854494,0.20463975858166727,0.912419343347,0.10000000000299991,0.2584493041749503,130,actual,834,actual,0.7210172026925954,2,1,2,1,1,0,1,577550,9495,611896,5317584,775,15463,8975,528,0.63,1337,964,130,0.73875083949,911,4510405,1868700,1386994,2021-04-30,https://covidactnow.org/us/south_carolina-sc,0.3629449994697705,0.2693864914617514,23,3208817
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.09900990099009901,other,14.226627757943213,0.5561861520998864,0.853871024856,0.11490949594600008,0.21008403361344538,25,actual,119,actual,0.6050420168067226,2,1,2,1,0,0,0,122532,1962,67376,538482,350,3379,1713,108,0.47,238,144,25,0.47,134,894985,393573,318790,2021-04-30,https://covidactnow.org/us/south_dakota-sd,0.4448866738483416,0.3603535373516802,0,691904
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.06389830508474575,other,13.871160908855364,0.25884481978585433,0.956938727385,0.09999999999499998,0.2559652928416486,236,actual,1463,actual,0.7123689727463313,2,1,2,1,1,0,1,831905,12091,771921,5942234,1226,25754,13346,868,0.62,2385,1699,236,0.8780727630290001,1245,5456970,2327527,1644492,2021-04-30,https://covidactnow.org/us/tennessee-tn,0.3408211593378643,0.240803939100102,17,3968801
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.04773806346202065,other,11.013386940816082,0.2331036950881274,1.00274481406,0.10000000000000009,0.34522345223452233,842,actual,4703,actual,0.7763931671800616,2,1,2,1,1,0,1,2851279,50339,3118016,21275200,3722,96942,49338,3388,0.62,7142,5545,842,0.63,3888,25102855,10999257,7654594,2021-04-30,https://covidactnow.org/us/texas-tx,0.37933860330024116,0.26398901278426407,65,18622188
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.04460610506581897,other,11.812827420517854,0.6337231233496793,0.998072443198,0.10000000000199993,0.19558359621451105,62,actual,313,actual,0.5952380952380952,2,1,2,1,1,0,0,397049,2197,489696,3432327,1200,7404,3777,150,0.56,630,375,62,0.58,463,2522960,1254474,749497,2021-04-30,https://covidactnow.org/us/utah-ut,0.3912945833975367,0.23378253863587733,7,2116081
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.04887444207257908,other,12.318273457402782,0.2942663043478261,0.8864701953890001,0.09999999999999998,0.29295426452410384,237,actual,1139,actual,0.7063655030800822,2,1,2,1,0,0,1,658341,10751,918982,6657086,1547,22998,13357,1042,0.65,1948,1376,237,0.52701127089,1181,8010395,3979508,2739248,2021-04-30,https://covidactnow.org/us/virginia-va,0.46622917715958456,0.32092342598030654,15,6540658
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.013423676809000256,other,11.424194062029025,0.14869739478957916,0.763715768374,0.14948169825000002,0.1282051282051282,5,actual,63,actual,0.6666666666666666,2,0,2,1,0,0,0,22824,246,32395,1588012,53,1703,840,28,0.69,102,68,5,0.5,101,671950,340072,229298,2021-04-30,https://covidactnow.org/us/vermont-vt,0.5449967868023314,0.367471221447814,0,556060
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.06031443789722873,other,18.900931559848765,0.29486848635235735,1.06412069151,0.09999999999999987,0.3326271186440678,157,actual,814,actual,0.755054432348367,2,1,2,1,1,0,1,403589,5535,278763,4824263,2122,17724,10181,768,0.7,1286,971,157,0.67,1540,7152780,3487638,2409840,2021-04-30,https://covidactnow.org/us/washington-wa,0.45800223325528017,0.3164640658772224,13,5747171
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.03373380054508037,other,12.589236735014945,0.16371077762619374,0.9421585663429999,0.09999999999700004,0.1524163568773234,123,actual,808,actual,0.5764705882352941,2,1,2,1,1,0,0,659212,7542,722949,8243915,600,19111,8965,418,0.56,1615,931,123,0.58,904,5189475,2636880,2011920,2021-04-30,https://covidactnow.org/us/wisconsin-wi,0.45288276346284045,0.3455462097122956,8,4580372
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.06360258703729188,other,19.489791534160663,0.1420040899795501,0.9637151995409999,0.09999999999900011,0.3775933609958506,91,actual,424,actual,0.7744360902255639,2,1,2,1,1,0,1,152733,2674,185265,2429024,248,8395,4776,296,0.58,665,515,91,0.67,432,1640115,637946,534200,2021-04-30,https://covidactnow.org/us/west_virginia-wv,0.35596745133072233,0.29807822684188295,1,1160310
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.03555116652265153,other,11.255610218218143,0.1535087719298246,1.06801431095,0.18579457447000003,0.053763440860215055,5,actual,45,actual,0.36231884057971014,2,1,2,1,1,0,0,58069,707,50428,700681,50,1883,799,30,0.4,138,50,5,0.467213114754,70,478185,195885,158672,2021-04-30,https://covidactnow.org/us/wyoming-wy,0.3384569397624918,0.27415901955736327,0,353401
